name,type,value,date
辛德胡,印度,81106,2017-10-06
成池铉,韩国,76175,2017-10-06
马琳,西班牙,75437,2017-10-06
山口茜,日本,74499,2017-10-06
孙瑜,中国,67591,2017-10-06
奥原希望,日本,66957,2017-10-06
何冰娇,中国,64892,2017-10-06
因达农,泰国,61511,2017-10-06
陈雨菲,中国,58630,2017-10-06
戴资颖,中国台北,94409,2017-10-13
辛德胡,印度,81106,2017-10-13
成池铉,韩国,76175,2017-10-13
马琳,西班牙,75437,2017-10-13
山口茜,日本,74499,2017-10-13
孙瑜,中国,67591,2017-10-13
奥原希望,日本,66957,2017-10-13
何冰娇,中国,64892,2017-10-13
因达农,泰国,61511,2017-10-13
陈雨菲,中国,58630,2017-10-13
戴资颖,中国台北,94409,2017-10-20
辛德胡,印度,81106,2017-10-20
成池铉,韩国,76175,2017-10-20
马琳,西班牙,75437,2017-10-20
山口茜,日本,74499,2017-10-20
孙瑜,中国,67591,2017-10-20
奥原希望,日本,66957,2017-10-20
何冰娇,中国,64892,2017-10-20
因达农,泰国,61511,2017-10-20
陈雨菲,中国,58630,2017-10-20
戴资颖,中国台北,92759,2017-10-27
辛德胡,印度,81106,2017-10-27
成池铉,韩国,76175,2017-10-27
马琳,西班牙,73787,2017-10-27
山口茜,日本,72849,2017-10-27
因达农,泰国,68191,2017-10-27
孙瑜,中国,66581,2017-10-27
何冰娇,中国,64892,2017-10-27
奥原希望,日本,63567,2017-10-27
陈雨菲,中国,62010,2017-10-27
戴资颖,中国台北,95539,2017-11-03
辛德胡,印度,82486,2017-11-03
成池铉,韩国,75805,2017-11-03
山口茜,日本,74599,2017-11-03
马琳,西班牙,73787,2017-11-03
因达农,泰国,68191,2017-11-03
孙瑜,中国,63761,2017-11-03
奥原希望,日本,63567,2017-11-03
陈雨菲,中国,62150,2017-11-03
何冰娇,中国,62112,2017-11-03
戴资颖,中国台北,95539,2017-11-10
辛德胡,印度,82486,2017-11-10
成池铉,韩国,75805,2017-11-10
山口茜,日本,74599,2017-11-10
马琳,西班牙,73787,2017-11-10
因达农,泰国,68191,2017-11-10
孙瑜,中国,63761,2017-11-10
奥原希望,日本,63567,2017-11-10
陈雨菲,中国,62150,2017-11-10
何冰娇,中国,59432,2017-11-10
戴资颖,中国台北,95539,2017-11-17
辛德胡,印度,82486,2017-11-17
成池铉,韩国,75805,2017-11-17
山口茜,日本,74599,2017-11-17
马琳,西班牙,73787,2017-11-17
因达农,泰国,68191,2017-11-17
孙瑜,中国,63761,2017-11-17
奥原希望,日本,63567,2017-11-17
陈雨菲,中国,60050,2017-11-17
何冰娇,中国,59432,2017-11-17
戴资颖,中国台北,94259,2017-11-24
山口茜,日本,79549,2017-11-24
辛德胡,印度,77536,2017-11-24
马琳,西班牙,75437,2017-11-24
成池铉,韩国,73145,2017-11-24
因达农,泰国,70851,2017-11-24
奥原希望,日本,63567,2017-11-24
陈雨菲,中国,60050,2017-11-24
何冰娇,中国,59432,2017-11-24
内维尔,印度,56160,2017-11-24
戴资颖,中国台北,94259,2017-12-01
山口茜,日本,79549,2017-12-01
辛德胡,印度,77536,2017-12-01
马琳,西班牙,74967,2017-12-01
成池铉,韩国,74525,2017-12-01
因达农,泰国,72231,2017-12-01
奥原希望,日本,63567,2017-12-01
陈雨菲,中国,60190,2017-12-01
何冰娇,中国,60152,2017-12-01
内维尔,印度,54720,2017-12-01
戴资颖,中国台北,94259,2017-12-08
山口茜,日本,79549,2017-12-08
辛德胡,印度,77536,2017-12-08
马琳,西班牙,74967,2017-12-08
成池铉,韩国,72565,2017-12-08
因达农,泰国,72231,2017-12-08
奥原希望,日本,63567,2017-12-08
陈雨菲,中国,60190,2017-12-08
何冰娇,中国,60152,2017-12-08
内维尔,印度,54720,2017-12-08
戴资颖,中国台北,94259,2017-12-15
山口茜,日本,79549,2017-12-15
辛德胡,印度,77536,2017-12-15
马琳,西班牙,74967,2017-12-15
成池铉,韩国,72565,2017-12-15
因达农,泰国,72231,2017-12-15
奥原希望,日本,63567,2017-12-15
陈雨菲,中国,60190,2017-12-15
何冰娇,中国,60152,2017-12-15
内维尔,印度,54720,2017-12-15
戴资颖,中国台北,89309,2017-12-22
山口茜,日本,84129,2017-12-22
辛德胡,印度,79186,2017-12-22
马琳,西班牙,74967,2017-12-22
因达农,泰国,74891,2017-12-22
成池铉,韩国,68255,2017-12-22
奥原希望,日本,63567,2017-12-22
陈雨菲,中国,62850,2017-12-22
何冰娇,中国,58422,2017-12-22
内维尔,印度,54720,2017-12-22
戴资颖,中国台北,89309,2017-12-29
山口茜,日本,84129,2017-12-29
辛德胡,印度,79186,2017-12-29
马琳,西班牙,74967,2017-12-29
因达农,泰国,74891,2017-12-29
成池铉,韩国,68255,2017-12-29
奥原希望,日本,63567,2017-12-29
陈雨菲,中国,62850,2017-12-29
何冰娇,中国,58422,2017-12-29
内维尔,印度,54720,2017-12-29
戴资颖,中国台北,89309,2018-01-05
山口茜,日本,84129,2018-01-05
辛德胡,印度,79186,2018-01-05
马琳,西班牙,74967,2018-01-05
因达农,泰国,74891,2018-01-05
成池铉,韩国,68255,2018-01-05
奥原希望,日本,63567,2018-01-05
陈雨菲,中国,62850,2018-01-05
何冰娇,中国,58422,2018-01-05
内维尔,印度,54720,2018-01-05
戴资颖,中国台北,89309,2018-01-12
山口茜,日本,84129,2018-01-12
辛德胡,印度,79186,2018-01-12
马琳,西班牙,74967,2018-01-12
因达农,泰国,74891,2018-01-12
成池铉,韩国,68255,2018-01-12
奥原希望,日本,63567,2018-01-12
陈雨菲,中国,62850,2018-01-12
何冰娇,中国,58422,2018-01-12
内维尔,印度,54720,2018-01-12
戴资颖,中国台北,89309,2018-01-19
山口茜,日本,84129,2018-01-19
辛德胡,印度,79186,2018-01-19
马琳,西班牙,74967,2018-01-19
因达农,泰国,74891,2018-01-19
成池铉,韩国,68255,2018-01-19
奥原希望,日本,63567,2018-01-19
陈雨菲,中国,62850,2018-01-19
何冰娇,中国,58422,2018-01-19
内维尔,印度,54720,2018-01-19
戴资颖,中国台北,91059,2018-01-26
山口茜,日本,84129,2018-01-26
辛德胡,印度,79186,2018-01-26
因达农,泰国,78041,2018-01-26
马琳,西班牙,75437,2018-01-26
