name,type,value,date
普拉塔玛&苏华迪,印尼,60619,2016-12-15
彼德森&科丁,丹麦,59893,2016-12-15
索松诺夫&伊万诺夫,俄罗斯,58033,2016-12-15
傅海峰&张楠,中国,57055,2016-12-15
塞蒂亚万&阿山,印尼,55300,2016-12-15
索伦森&安德斯,丹麦,54091,2016-12-15
李哲辉&李洋,中国台北,49400,2016-12-15
古健杰&陈文宏,马来西亚,48253,2016-12-15
M·埃利斯&兰格瑞奇,英国,47946,2016-12-15
吴蔚昇&陈蔚强,马来西亚,76797,2016-12-22
费尔纳迪&苏卡穆约,印尼,69051,2016-12-22
嘉村健士&园田启悟,日本,68042,2016-12-22
鲍伊&摩根森,丹麦,67454,2016-12-22
柴飚&洪炜,中国,66920,2016-12-22
李俊慧&刘雨辰,中国,63819,2016-12-22
普拉塔玛&苏华迪,印尼,60619,2016-12-22
彼德森&科丁,丹麦,59893,2016-12-22
索松诺夫&伊万诺夫,俄罗斯,58033,2016-12-22
傅海峰&张楠,中国,57055,2016-12-22
塞蒂亚万&阿山,印尼,55300,2016-12-22
索伦森&安德斯,丹麦,54091,2016-12-22
李哲辉&李洋,中国台北,49400,2016-12-22
古健杰&陈文宏,马来西亚,48253,2016-12-22
M·埃利斯&兰格瑞奇,英国,47576,2016-12-22
费尔纳迪&苏卡穆约,印尼,102153,2016-12-29
嘉村健士&园田启悟,日本,85473,2016-12-29
李俊慧&刘雨辰,中国,84910,2016-12-29
塞蒂亚万&阿山,印尼,76457,2016-12-29
远藤大由&渡边勇大,日本,71573,2016-12-29
法加尔&阿德里安托,印尼,70515,2016-12-29
韩呈恺&周昊东,中国,69657,2016-12-29
索伦森&安德斯,丹麦,67069,2016-12-29
陈宏麟&王齐麟,中国台北,61520,2016-12-29
廖敏竣&苏敬恒,中国台北,58346,2016-12-29
谢定峰&苏伟译,马来西亚,57871,2016-12-29
井上拓斗&金子祐树,日本,57537,2016-12-29
何济霆&谭强,中国,56350,2016-12-29
刘成&张楠,中国,54140,2016-12-29
吴蔚昇&陈蔚强,马来西亚,53640,2016-12-29
吴蔚昇&陈蔚强,马来西亚,76797,2017-01-05
费尔纳迪&苏卡穆约,印尼,69051,2017-01-05
嘉村健士&园田启悟,日本,68042,2017-01-05
